Date,Time,"Virtual Memory Commited [MB]","Virtual Memory Available [MB]","Virtual Memory Load [%]","Physical Memory Used [MB]","Physical Memory Available [MB]","Physical Memory Load [%]","Page File Usage [%]","Core 0 VID [V]","Core 1 VID [V]","Core 2 VID [V]","Core 3 VID [V]","Core 4 VID [V]","Core 5 VID [V]","Core 0 Clock (perf #3/3) [MHz]","Core 1 Clock (perf #4/6) [MHz]","Core 2 Clock (perf #5/5) [MHz]","Core 3 Clock (perf #1/1) [MHz]","Core 4 Clock (perf #2/4) [MHz]","Core 5 Clock (perf #1/2) [MHz]","Bus Clock [MHz]","Core 0 T0 Effective Clock [MHz]","Core 0 T1 Effective Clock [MHz]","Core 1 T0 Effective Clock [MHz]","Core 1 T1 Effective Clock [MHz]","Core 2 T0 Effective Clock [MHz]","Core 2 T1 Effective Clock [MHz]","Core 3 T0 Effective Clock [MHz]","Core 3 T1 Effective Clock [MHz]","Core 4 T0 Effective Clock [MHz]","Core 4 T1 Effective Clock [MHz]","Core 5 T0 Effective Clock [MHz]","Core 5 T1 Effective Clock [MHz]","Average Effective Clock [MHz]","Core 0 T0 Usage [%]","Core 0 T1 Usage [%]","Core 1 T0 Usage [%]","Core 1 T1 Usage [%]","Core 2 T0 Usage [%]","Core 2 T1 Usage [%]","Core 3 T0 Usage [%]","Core 3 T1 Usage [%]","Core 4 T0 Usage [%]","Core 4 T1 Usage [%]","Core 5 T0 Usage [%]","Core 5 T1 Usage [%]","Max CPU/Thread Usage [%]","Total CPU Usage [%]","Core 0 Ratio [x]","Core 1 Ratio [x]","Core 2 Ratio [x]","Core 3 Ratio [x]","Core 4 Ratio [x]","Core 5 Ratio [x]","Memory Clock [MHz]","Memory Clock Ratio [x]","Tcas [T]","Trcd [T]","Trp [T]","Tras [T]","Trc [T]","Trfc [T]","Command Rate [T]","CPU (Tctl/Tdie) [°C]","CPU CCD1 (Tdie) [°C]","CPU Core Voltage (SVI2 TFN) [V]","SoC Voltage (SVI2 TFN) [V]","CPU Package Power (SMU) [W]","Core 0 Power (SMU) [W]","Core 1 Power (SMU) [W]","Core 2 Power (SMU) [W]","Core 3 Power (SMU) [W]","Core 4 Power (SMU) [W]","Core 5 Power (SMU) [W]","Memory Controller Clock (UCLK) [MHz]","Thermal Throttling (HTC) [Yes/No]","Thermal Throttling (PROCHOT CPU) [Yes/No]","Thermal Throttling (PROCHOT EXT) [Yes/No]","System1 [°C]","Chipset [°C]","CPU [°C]","PCIEX16 [°C]","VRM MOS [°C]","VSOC MOS [°C]","Vcore [V]","+3.3V [V]","+12V [V]","+5V [V]","CPU VCORE SOC [V]","CPU VDDP [V]","DRAM [V]","3VSB [V]","VBAT [V]","AVCC3 [V]","CPU [RPM]","Chassis Intrusion [Yes/No]","Drive Temperature [°C]","Drive Remaining Life [%]","Drive Failure [Yes/No]","Drive Warning [Yes/No]","Total Host Writes [GB]","Total Host Reads [GB]","Drive Remaining Life [%]","Drive Failure [Yes/No]","Drive Warning [Yes/No]","Total Host Writes [GB]","Drive Airflow Temperature [°C]","Drive Remaining Life [%]","Drive Failure [Yes/No]","Drive Warning [Yes/No]","Total Host Writes [GB]","Read Activity [%]","Write Activity [%]","Total Activity [%]","Read Rate [MB/s]","Write Rate [MB/s]","Read Total [MB]","Write Total [MB]","Read Activity [%]","Write Activity [%]","Total Activity [%]","Read Rate [MB/s]","Write Rate [MB/s]","Read Total [MB]","Write Total [MB]","Read Activity [%]","Write Activity [%]","Total Activity [%]","Read Rate [MB/s]","Write Rate [MB/s]","Read Total [MB]","Write Total [MB]","Read Activity [%]","Write Activity [%]","Total Activity [%]","Read Rate [MB/s]","Write Rate [MB/s]","Read Total [MB]","GPU Temperature [°C]","GPU Core Voltage [V]","GPU Fan1 [RPM]","GPU Power [W]","GPU Clock [MHz]","GPU Memory Clock [MHz]","GPU Video Clock [MHz]","GPU Core Load [%]","GPU Memory Controller Load [%]","GPU Video Engine Load [%]","GPU Bus Load [%]","GPU Memory Usage [%]","GPU D3D Usage [%]","GPU Video Decode 0 Usage [%]","GPU Video Encode 0 Usage [%]","GPU Computing (Compute_0) Usage [%]","GPU Computing (Compute_1) Usage [%]","GPU VR Usage [%]","GPU Fan1 [%]","Performance Limit - Power [Yes/No]","Performance Limit - Thermal [Yes/No]","Performance Limit - Reliability Voltage [Yes/No]","Performance Limit - Max Operating Voltage [Yes/No]","Performance Limit - Utilization [Yes/No]","Performance Limit - SLI GPUBoost Sync [Yes/No]","Total GPU Power (normalized) [% of TDP] [%]","Total GPU Power [% of TDP] [%]","GPU Memory Allocated [MB]","GPU D3D Memory Dedicated [MB]","GPU D3D Memory Dynamic [MB]","PCIe Link Speed [GT/s]","Total DL [MB]","Total UP [MB]","Current DL rate [KB/s]","Current UP rate [KB/s]","Total Errors []",
28.12.2019,10:11:22.483,6439,22693,22.1,4125,12207,25.2,0.1,1.413,1.413,1.425,1.425,1.431,1.425,4092.6,4092.6,4092.6,4092.6,4092.6,4092.6,99.8,95.5,10.4,67.5,15.7,174.5,89.4,65.1,47.5,60.4,14.0,38.6,64.7,61.9,3.0,0.7,1.5,0.0,3.7,1.5,0.7,0.0,0.0,0.0,0.0,0.7,3.7,1.0,41.0,41.0,41.0,41.0,41.0,41.0,1497.3,15.00,16,17,17,35,52,525,1,35.4,41.5,1.412,1.069,22.750,0.093,0.099,0.380,0.138,0.095,0.155,1497.3,No,No,No,33,41,35,14,38,41,0.900,3.305,12.168,4.920,1.068,0.900,1.368,3.336,3.240,3.072,706,Yes,30,96.0,No,No,5639,8668,100.0,No,No,5675,29,99.0,No,No,4810,0.1,0.0,0.1,0.016,0.012,8563,1243,0.0,0.0,0.0,0.000,0.000,0,0,0.0,0.0,0.0,0.000,0.000,8401,0,0.0,0.0,0.0,0.000,0.000,1,36,0.725,0,12.151,300.0,405.0,540.0,0.0,13.0,0.0,0.0,14.2,0.7,0.0,0.0,0.0,0.0,0.0,0.0,No,No,No,No,Yes,No,7.6,7.1,870,711,70,2.5,56,13,0.194,0.190,0,
28.12.2019,10:11:24.549,6435,22696,22.0,4123,12208,25.2,0.1,1.406,0.956,0.944,0.956,0.944,0.944,4092.6,3368.9,3368.9,3368.9,3368.9,3368.9,99.8,114.1,10.9,74.8,19.4,219.8,98.8,99.3,49.9,48.9,14.4,44.9,55.3,70.9,3.0,0.0,2.2,0.0,5.3,3.8,2.2,0.7,0.0,0.0,1.5,0.7,5.3,1.6,41.0,33.8,33.8,33.8,33.8,33.8,1497.3,15.00,16,17,17,35,52,525,1,33.0,33.5,0.938,1.075,24.207,0.160,0.141,0.537,0.255,0.116,0.164,1497.3,No,No,No,33,41,33,14,38,41,0.912,3.305,12.168,4.920,1.068,0.900,1.380,3.336,3.240,3.072,662,Yes,30,96.0,No,No,5639,8668,100.0,No,No,5675,29,99.0,No,No,4810,0.0,0.1,0.1,0.000,0.086,8563,1243,0.0,0.0,0.0,0.000,0.000,0,0,0.0,0.0,0.0,0.000,0.000,8401,0,0.0,0.0,0.0,0.000,0.000,1,36,0.725,0,12.068,300.0,405.0,540.0,2.0,14.0,0.0,0.0,14.1,3.0,0.0,0.0,0.0,0.0,0.0,0.0,No,No,No,No,Yes,No,8.0,7.4,864,706,69,2.5,56,13,0.056,0.045,0,
28.12.2019,10:11:26.616,6433,22698,22.0,4123,12209,25.2,0.1,0.931,0.938,0.925,0.925,0.925,0.938,3194.2,3194.2,3019.6,3019.6,3019.6,3019.6,99.8,109.1,17.2,65.0,24.0,203.8,86.9,117.1,44.3,44.9,25.1,64.2,60.8,71.9,2.2,0.0,0.7,0.0,3.7,2.2,3.0,0.0,0.0,0.7,0.7,0.7,3.7,1.2,32.0,32.0,30.3,30.3,30.3,30.3,1497.3,15.00,16,17,17,35,52,525,1,41.1,32.5,0.925,1.075,23.821,0.145,0.147,0.448,0.289,0.101,0.203,1497.3,No,No,No,33,41,41,14,39,41,1.380,3.305,12.168,4.920,1.068,0.900,1.368,3.336,3.240,3.072,622,Yes,30,96.0,No,No,5639,8668,100.0,No,No,5675,29,99.0,No,No,4810,0.1,0.1,0.1,0.026,0.140,8563,1243,0.0,0.0,0.0,0.000,0.000,0,0,0.0,0.0,0.0,0.000,0.000,8401,0,0.0,0.0,0.0,0.000,0.000,1,36,0.725,0,11.420,300.0,405.0,540.0,0.0,13.0,0.0,0.0,14.1,0.4,0.0,0.0,0.0,0.0,0.0,0.0,No,No,No,No,Yes,No,6.7,6.7,864,706,69,2.5,56,13,0.031,0.026,0,
28.12.2019,10:11:28.679,6427,22704,22.0,4118,12213,25.2,0.1,0.925,0.931,0.931,0.925,0.925,0.925,2495.5,2495.5,2320.8,2320.8,2320.8,2320.8,99.8,88.0,9.5,46.5,12.8,154.0,80.2,69.2,35.7,34.0,11.5,28.9,42.1,51.0,3.7,0.0,0.0,0.0,3.7,4.5,1.5,0.0,0.0,0.0,0.0,0.0,4.5,1.1,25.0,25.0,23.3,23.3,23.3,23.3,1497.3,15.00,16,17,17,35,52,525,1,38.0,32.0,0.925,1.075,22.286,0.079,0.055,0.309,0.142,0.045,0.069,1497.3,No,No,No,33,41,38,14,38,41,0.900,3.305,12.168,4.920,1.068,0.900,1.380,3.336,3.240,3.072,689,Yes,30,96.0,No,No,5639,8668,100.0,No,No,5675,29,99.0,No,No,4810,0.0,0.0,0.0,0.000,0.017,8563,1243,0.0,0.0,0.0,0.000,0.000,0,0,0.0,0.0,0.0,0.000,0.000,8401,0,0.0,0.0,0.0,0.000,0.000,1,36,0.725,0,11.471,300.0,405.0,540.0,0.0,13.0,0.0,0.0,14.1,0.2,0.0,0.0,0.0,0.0,0.0,0.0,No,No,No,No,Yes,No,6.8,6.7,864,706,69,2.5,56,13,0.080,0.051,0,
28.12.2019,10:11:30.741,6429,22703,22.0,4115,12216,25.2,0.1,1.425,1.425,1.425,1.406,1.425,1.425,4092.6,4092.6,4092.6,4092.6,3274.1,4092.6,99.8,116.4,10.4,88.1,10.9,249.3,101.2,47.0,79.6,36.7,24.0,45.7,97.8,75.6,2.2,0.0,0.0,0.0,7.5,3.0,1.5,1.5,0.7,0.7,0.0,1.5,7.5,1.5,41.0,41.0,41.0,41.0,32.8,41.0,1497.3,15.00,16,17,17,35,52,525,1,35.3,34.0,1.400,1.069,26.852,0.160,0.159,0.774,0.231,0.105,0.241,1497.3,No,No,No,33,41,35,14,39,41,1.380,3.305,12.168,4.920,1.056,0.900,1.380,3.336,3.240,3.072,700,Yes,30,96.0,No,No,5639,8668,100.0,No,No,5675,29,99.0,No,No,4810,0.9,0.0,0.9,0.867,0.033,8564,1243,0.0,0.0,0.0,0.000,0.000,0,0,0.0,0.0,0.0,0.000,0.000,8401,0,0.0,0.0,0.0,0.000,0.000,1,36,0.725,0,11.597,300.0,405.0,540.0,1.0,13.0,0.0,0.0,14.1,1.0,0.0,0.0,0.0,0.0,0.0,0.0,No,No,No,No,Yes,No,6.8,6.8,864,706,69,2.5,56,13,0.000,0.000,0,
28.12.2019,10:11:32.808,6428,22703,22.0,4115,12216,25.2,0.1,1.406,1.425,1.406,1.425,1.406,1.425,4092.6,4092.6,4092.6,4092.6,3274.1,4092.6,99.8,139.0,10.0,85.5,8.3,344.5,143.2,69.7,108.6,30.7,9.6,42.1,113.8,92.1,0.0,0.0,0.0,0.0,2.2,0.7,0.0,0.0,0.0,0.0,0.7,2.2,2.2,0.5,41.0,41.0,41.0,41.0,32.8,41.0,1497.3,15.00,16,17,17,35,52,525,1,34.3,34.0,1.412,1.075,29.847,0.311,0.217,1.246,0.447,0.083,0.334,1497.3,No,No,No,33,41,34,14,39,41,0.936,3.305,12.168,4.920,1.068,0.900,1.380,3.336,3.240,3.072,675,Yes,30,96.0,No,No,5639,8668,100.0,No,No,5675,29,99.0,No,No,4810,0.0,0.0,0.0,0.015,0.021,8564,1243,0.0,0.0,0.0,0.000,0.000,0,0,0.0,0.0,0.0,0.000,0.000,8401,0,0.0,0.0,0.0,0.000,0.000,1,36,0.725,0,11.458,300.0,405.0,540.0,1.0,13.0,0.0,0.0,14.1,1.5,0.0,0.0,0.0,0.0,0.0,0.0,No,No,No,No,Yes,No,6.9,6.7,864,706,69,2.5,56,13,0.067,0.086,0,
28.12.2019,10:11:34.870,6825,22306,23.4,4309,12022,26.3,0.1,1.438,1.431,1.425,1.425,1.425,1.425,4092.6,4092.6,4092.6,4092.6,4092.6,4092.6,99.8,511.0,340.9,579.4,265.2,833.9,478.4,384.7,390.5,369.5,231.8,702.4,309.3,449.7,11.3,7.5,12.8,5.3,18.9,9.8,8.3,7.5,9.8,5.3,14.3,6.8,18.9,9.8,41.0,41.0,41.0,41.0,41.0,41.0,1497.3,15.00,16,17,17,35,52,525,1,51.1,35.8,1.412,1.075,38.330,1.494,1.689,2.367,1.554,1.224,2.037,1497.3,No,No,No,33,41,51,14,39,41,1.392,3.305,12.168,4.920,1.068,0.900,1.380,3.336,3.240,3.072,723,Yes,30,96.0,No,No,5639,8668,100.0,No,No,5675,29,99.0,No,No,4810,5.3,0.0,5.3,4.616,0.001,8574,1243,0.0,0.0,0.0,0.000,0.000,0,0,0.0,0.0,0.0,0.000,0.000,8401,0,0.0,0.0,0.0,0.000,0.000,1,37,0.731,0,31.408,1365.0,7001.0,1260.0,2.0,1.0,0.0,0.0,16.8,17.0,0.0,0.0,0.0,0.0,0.0,0.0,No,No,No,No,Yes,No,24.3,18.5,1032,874,77,8.0,62,13,2931.461,107.144,0,
28.12.2019,10:11:36.937,6852,22279,23.5,4321,12011,26.4,0.1,1.419,1.406,1.431,1.425,1.425,1.419,4092.6,4092.6,4092.6,4092.6,4092.6,4092.6,99.8,409.8,327.3,372.9,233.7,772.3,387.4,336.4,198.1,277.9,161.7,263.8,254.3,333.0,1.5,6.8,6.8,3.0,15.9,7.5,9.0,5.3,2.2,0.0,2.2,3.0,15.9,5.3,41.0,41.0,41.0,41.0,41.0,41.0,1497.3,15.00,16,17,17,35,52,525,1,48.0,35.3,1.412,1.075,38.850,1.677,1.585,2.333,1.446,1.318,1.425,1497.3,No,No,No,33,41,48,14,39,42,1.392,3.305,12.168,4.920,1.068,0.900,1.380,3.336,3.240,3.072,976,Yes,30,96.0,No,No,5639,8668,100.0,No,No,5675,29,99.0,No,No,4810,0.3,0.1,0.4,0.150,0.290,8574,1244,0.0,0.0,0.0,0.000,0.000,0,0,0.0,0.0,0.0,0.000,0.000,8401,0,0.0,0.0,0.0,0.000,0.000,1,36,0.719,0,14.567,405.0,810.0,540.0,12.0,14.0,0.0,1.0,17.0,11.6,0.0,0.0,0.0,0.0,0.0,0.0,No,No,No,No,Yes,No,8.6,8.6,1047,889,77,5.0,66,13,2150.042,52.357,0,
28.12.2019,10:11:39.000,7232,21899,24.8,4475,11857,27.4,0.1,1.419,1.425,1.425,1.425,1.419,1.425,4092.6,3274.1,4092.6,4092.6,4092.6,4092.6,99.8,550.5,242.7,385.9,260.1,747.2,438.1,621.7,424.3,504.0,264.3,947.3,528.5,492.9,10.5,4.5,6.7,3.0,9.7,7.5,15.0,6.0,8.2,4.5,17.2,10.6,17.2,8.6,41.0,32.8,41.0,41.0,41.0,41.0,1497.3,15.00,16,17,17,35,52,525,1,60.0,44.3,1.406,1.075,41.108,1.658,1.515,2.187,1.997,1.639,2.871,1497.3,No,No,No,33,41,60,14,39,42,1.380,3.305,12.168,4.920,1.068,0.900,1.380,3.336,3.240,3.072,1053,Yes,30,96.0,No,No,5639,8668,100.0,No,No,5675,29,99.0,No,No,4810,16.1,0.5,16.6,16.795,1.561,8607,1247,0.0,0.0,0.0,0.000,0.000,0,0,0.0,0.0,0.0,0.000,0.000,8401,0,0.0,0.0,0.0,0.000,0.000,1,37,0.731,0,31.507,1365.0,7001.0,1260.0,26.0,10.0,0.0,1.0,18.4,23.2,0.0,0.0,0.0,0.0,0.0,0.0,No,No,No,No,Yes,No,23.8,18.5,1128,970,85,8.0,67,13,285.746,13.231,0,
28.12.2019,10:11:41.059,7241,21891,24.8,4470,11862,27.3,0.1,1.425,1.419,1.425,1.413,1.425,1.425,4092.6,4092.6,4092.6,4092.6,4092.6,4092.6,99.8,320.7,31.9,68.8,35.2,240.4,200.7,673.2,200.0,237.9,29.8,710.4,172.7,243.5,7.5,0.0,0.0,0.0,1.5,2.2,12.1,2.2,0.7,0.0,7.5,2.2,12.1,3.0,41.0,41.0,41.0,41.0,41.0,41.0,1497.3,15.00,16,17,17,35,52,525,1,56.8,44.0,1.412,1.075,36.612,0.901,0.309,1.315,2.285,0.804,2.318,1497.3,No,No,No,33,41,57,14,39,42,1.380,3.305,12.096,4.920,1.068,0.900,1.380,3.336,3.240,3.072,1520,Yes,30,96.0,No,No,5639,8668,100.0,No,No,5675,29,99.0,No,No,4810,0.6,0.3,0.9,1.514,1.263,8610,1250,0.0,0.0,0.0,0.000,0.000,0,0,0.0,0.0,0.0,0.000,0.000,8401,0,0.0,0.0,0.0,0.000,0.000,1,37,0.719,0,19.695,495.0,810.0,540.0,6.0,3.0,0.0,1.0,18.3,11.0,0.0,0.0,0.0,0.0,0.0,0.0,No,No,No,No,Yes,No,11.7,11.6,1126,968,85,5.0,72,13,2433.919,87.797,0,
